,zcta,poverty_rate,unemployment_rate,median_household_income
0,11804,4.174694926140013,0.9766684753119913,112946.0
1,11930,4.081632653061225,0.0,102639.0
2,11941,4.117974401780746,0.0,123125.0
3,11962,0.0,0.0,113182.0
4,11702,4.156929395935132,2.287112836526289,130337.0
5,11710,3.585911250144827,2.4926686217008798,136281.0
6,11530,2.892426505409639,2.4116039149986777,168019.0
7,11566,3.0063671311869293,2.017085011101494,152337.0
8,11705,4.4812848076674,2.119309262166405,112193.0
9,11709,4.543429844097996,1.6666666666666667,108951.0
10,11714,3.4607097313222814,1.9857158316199546,114095.0
11,11722,9.426008684352318,2.4167159471712987,75021.0
12,11725,2.8847814821212645,1.6217769748727213,133893.0
13,11727,5.947880097218471,2.527771955564871,82655.0
14,11730,4.787587735500554,2.284102284102284,122826.0
15,11746,7.397962987816699,2.7063040744702813,116560.0
16,11765,2.6854219948849107,1.6556291390728477,250001.0
17,11767,2.6457185608379246,3.0446549391069015,116599.0
18,11769,4.309927360774819,2.32817510107347,103864.0
19,11901,11.14365040124748,2.4789097988319275,66438.0
20,11950,9.928127664758192,3.417393353759133,95278.0
21,11952,1.2774451097804391,1.1108737449262978,92042.0
22,11717,10.879248571705238,2.6845908522062087,82237.0
23,11718,0.7496740547588006,2.580909463334699,127931.0
24,11733,2.2819050060893535,1.714794744265459,155455.0
25,11742,3.4021283456949374,2.8820441715361,107056.0
26,11753,4.623647544173737,3.4671532846715327,175724.0
27,11756,5.315507031828275,2.688157128193747,125486.0
28,11763,8.622528801024036,2.945271952403055,88438.0
29,11766,3.114334470989761,3.1824388194517383,133050.0
30,11771,3.6174863387978142,2.6671974522292996,121481.0
31,11778,4.057417855957517,2.9726890756302518,97790.0
32,11222,10.176545795816217,2.7175064306249053,93488.0
33,11233,27.144033964894493,3.1686754712142586,44905.0
34,11235,17.116179908042433,3.057214233487692,54646.0
35,11426,7.682890999902066,2.706639155237286,98987.0
36,11427,8.541770885442721,3.0083144368858656,79385.0
37,11042,,0.0,-666666666.0
38,11101,16.848089408572626,4.896887603683129,75581.0
39,11205,27.670268355327256,5.185909980430528,58872.0
40,11215,7.089106631559258,2.709037880007873,132091.0
41,11219,34.96036995579074,2.9932752431193435,40683.0
42,11226,15.744286347696402,3.7539966146323116,58257.0
43,11228,12.070177029263096,2.9407719182415892,72902.0
44,11236,12.532992081900343,3.2615033433820884,70793.0
45,14706,13.68628093755122,2.4154589371980677,57031.0
46,14709,15.262778977681785,1.981981981981982,47500.0
47,14710,17.56835369400814,2.0378977475867,61567.0
48,14711,12.57617728531856,2.0911127707244215,50000.0
49,14729,14.872364039955604,3.670886075949367,65000.0
50,14011,8.224981738495252,1.5887251761691221,68938.0
51,14020,14.813475016956817,2.0715731174778997,53841.0
52,14030,13.88733965421082,1.2684989429175475,65000.0
53,14132,10.762651461154668,2.6287668305193415,71678.0
54,14201,43.962982183013324,2.6824837020412526,29554.0
55,14206,21.647291615137274,3.7948413874888822,40751.0
56,14210,26.619262179667697,5.373811393178051,37380.0
57,14222,11.12146366254447,3.2375740994072046,58957.0
58,14301,39.389835908873664,5.58826567503357,27550.0
59,12737,10.10886469673406,2.4275118004045853,79946.0
60,12738,18.75,0.0,58500.0
61,12740,13.169533169533171,0.8274984086569064,70109.0
62,12754,23.244094488188978,5.053626613343028,41659.0
63,12758,15.772870662460567,1.5165583410708758,51386.0
64,12815,11.247637051039698,2.1645021645021645,55125.0
65,12822,11.544823023486602,2.089735709895513,58668.0
66,12827,5.337389380530974,3.5415970598062145,67885.0
