,Unnamed: 0,BOROUGH 1,NBHD,Reporting Year,pct,num_storefornts
434,311,MANHATTAN,West Village,2019 and 2020,10.83471531232725,1809
435,344,MANHATTAN,Upper East Side-Carnegie Hill,2019 and 2020,10.72961373390558,1398
436,296,MANHATTAN,Midtown-Midtown South,2019 and 2020,10.69548351343862,3609
437,326,MANHATTAN,Lenox Hill-Roosevelt Island,2019 and 2020,10.65934065934066,910
442,302,MANHATTAN,Murray Hill-Kips Bay,2019 and 2020,10.5,800
457,293,MANHATTAN,Clinton,2019 and 2020,9.565217391304348,920
462,341,MANHATTAN,Washington Heights South,2019 and 2020,9.403669724770642,872
472,269,MANHATTAN,Central Harlem North-Polo Grounds,2019 and 2020,9.104938271604938,648
473,284,MANHATTAN,Upper West Side,2019 and 2020,8.942307692307692,1040
475,338,MANHATTAN,Washington Heights North,2019 and 2020,8.916323731138547,729
481,329,MANHATTAN,Yorkville,2019 and 2020,8.670520231213873,692
489,347,MANHATTAN,Stuyvesant Town-Cooper Village,2019 and 2020,8.333333333333332,24
505,308,MANHATTAN,East Village,2019 and 2020,7.837837837837839,1110
514,290,MANHATTAN,Lincoln Square,2019 and 2020,7.208872458410351,541
518,332,MANHATTAN,East Harlem South,2019 and 2020,7.066381156316917,467
546,275,MANHATTAN,Manhattanville,2019 and 2020,5.333333333333334,150
554,266,MANHATTAN,Marble Hill-Inwood,2019 and 2020,4.980842911877394,522
563,278,MANHATTAN,Morningside Heights,2019 and 2020,4.451038575667656,337
