Reporting Year,"Aggregate Level (Citywide, Borough, Council District, Census Tract)",Aggregate Level ID,Total #Storefronts,Median Square Feet,Average Square Feet,#Storefront leased to tenants,#Storefront leased and not operating on 12/31,Median Monthly Rent Per Square Foot,Average Monthly Rent Per Square Foot,Median Years Leased,Average Years Leased,#Storefronts with Leases Ending after 12/31,Median Years Lease Term Remaining after 12/31,Average Years Lease Term Remaining after 12/31,Number whose lease is due to expire within the two years after 6/1,#Storefront Reported Occupied by Owner,Median Years Occupied by Owner,Average Years Occupied by Owner,#Storefront reported Not Leased and Not Owner Occupied,Median Years Not Leased and Not Owner Occupied,Average Years Not Leased and Not Owner Occupied,#Storefront under construction with DOB Projects Listed,Median years for construction projects,Average years for construction projects
2021,Census Tract,5.0134.00,49,1200.00,1754.33,38,*,2.00,3.35,1.00,5.20,10,7.09,12.50,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0133.02,71,2304.00,3473.63,38,*,1.70,2.17,1.00,4.12,12,2.50,3.10,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0132.04,13,1100.00,1056.15,10,0,4.50,10.30,1.00,3.10,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0132.03,22,1719.00,2254.86,15,0,1.60,1.48,3.00,3.09,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0128.04,64,2862.00,6644.69,35,28,5.00,6.34,10.45,12.64,32,9.67,10.00,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0122.00,54,1810.00,2112.31,43,*,3.00,5.81,1.00,3.00,10,3.04,3.33,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0121.00,29,1296.00,1679.00,24,*,3.00,3.86,5.00,8.21,12,2.54,3.22,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0114.02,21,1400.00,2386.05,17,0,3.00,4.68,10.01,10.77,12,5.29,4.78,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0114.01,29,1468.00,2779.03,23,*,4.00,3.78,1.00,6.07,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,5.0112.02,41,1235.00,2968.80,33,*,2.00,7.15,2.00,4.45,20,2.38,3.72,*,*,*,*,*,*,*,0,0.00,0.00
