Reporting Year,"Aggregate Level (Citywide, Borough, Council District, Census Tract)",Aggregate Level ID,Total #Storefronts,Median Square Feet,Average Square Feet,#Storefront leased to tenants,#Storefront leased and not operating on 12/31,Median Monthly Rent Per Square Foot,Average Monthly Rent Per Square Foot,Median Years Leased,Average Years Leased,#Storefronts with Leases Ending after 12/31,Median Years Lease Term Remaining after 12/31,Average Years Lease Term Remaining after 12/31,Number whose lease is due to expire within the two years after 6/1,#Storefront Reported Occupied by Owner,Median Years Occupied by Owner,Average Years Occupied by Owner,#Storefront reported Not Leased and Not Owner Occupied,Median Years Not Leased and Not Owner Occupied,Average Years Not Leased and Not Owner Occupied,#Storefront under construction with DOB Projects Listed,Median years for construction projects,Average years for construction projects
2021,Census Tract,3.0275.00,30,687.50,9114.37,29,*,3.00,3.97,4.00,5.93,21,2.58,4.38,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0274.00,19,900.00,1063.79,14,0,3.00,12.23,3.75,3.95,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0273.00,21,1600.00,2281.67,18,*,2.00,2.50,3.50,7.70,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0272.00,16,787.50,1174.38,10,*,3.00,3.10,1.00,2.60,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0271.00,14,1250.00,1344.21,12,0,4.00,4.02,7.83,8.15,11,4.00,3.97,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0269.00,23,900.00,1012.74,22,*,5.00,4.71,4.48,5.61,13,5.33,5.34,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0266.00,13,1000.00,1760.00,11,*,3.33,3.77,5.00,4.39,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0264.00,26,910.00,1291.27,23,*,3.00,2.82,3.00,4.54,13,1.08,3.00,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0261.00,17,650.00,1426.88,11,0,3.00,3.69,5.16,7.52,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0260.00,17,1500.00,2880.41,15,0,5.00,5.65,5.00,5.41,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0258.00,24,812.50,1269.25,20,0,2.42,11.44,6.54,8.40,15,4.00,4.42,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0257.00,18,1200.00,1908.83,12,*,2.00,4.08,10.01,8.93,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0256.00,22,1050.00,1860.41,18,0,2.04,2.80,2.42,6.98,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0254.00,16,1050.00,1605.63,13,*,3.00,5.29,7.00,6.69,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0253.00,13,950.00,1596.31,11,0,3.00,3.32,7.01,6.39,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0252.00,40,2046.00,2455.80,33,0,3.00,6.73,2.00,8.68,14,4.96,6.91,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0250.00,16,1900.00,2724.38,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0249.00,16,1000.00,1131.63,10,*,4.00,3.67,6.05,7.01,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0248.00,28,1250.00,2777.39,17,*,2.00,2.61,1.00,3.86,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0247.00,52,2119.50,3334.13,47,*,4.00,4.55,10.01,10.68,32,3.92,5.09,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0245.00,21,1636.00,3089.81,15,0,3.00,3.44,10.01,11.02,12,7.92,9.23,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0244.00,11,400.00,628.91,11,0,3.00,3.21,3.00,3.46,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0243.00,23,1000.00,2362.39,19,0,4.00,4.78,10.00,7.47,11,8.59,7.98,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0242.00,10,3744.50,5348.90,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0241.00,16,1040.00,8569.69,13,*,5.00,13.46,10.01,11.61,13,3.97,5.15,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0240.00,11,1826.00,4406.91,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0238.00,10,1393.50,1653.70,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0236.00,27,720.00,1304.07,24,0,4.00,3.97,7.55,6.98,13,2.67,4.43,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0235.00,15,880.00,1344.80,13,0,3.64,5.04,3.00,7.46,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0234.00,38,1188.50,1576.37,34,*,4.00,4.71,7.92,7.91,15,7.25,7.37,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0233.00,19,1728.00,3002.05,18,0,4.00,3.92,10.01,9.25,13,5.16,5.64,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0232.00,34,1750.00,1895.88,26,0,3.50,4.65,11.55,15.21,20,4.00,4.29,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0230.00,29,1200.00,1890.86,26,0,2.00,3.04,5.04,7.41,22,2.17,3.30,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0229.00,11,1200.00,1975.09,11,0,2.00,2.07,1.00,1.83,*,*,*,0,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0228.00,20,2000.00,3301.75,12,*,2.00,4.58,1.50,6.16,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0227.00,55,1100.00,2672.49,46,0,3.00,4.39,6.00,8.96,35,2.25,3.87,17,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0226.00,24,1750.00,2781.96,20,*,2.00,3.19,9.50,9.11,14,3.46,3.40,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0224.00,20,1650.00,2241.50,19,0,3.00,2.88,10.01,9.89,12,3.11,4.50,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0222.00,42,1600.00,2634.95,32,*,4.00,4.82,10.00,12.16,24,5.25,5.98,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0220.00,86,1055.00,1699.24,69,0,3.00,3.64,5.50,7.54,44,3.01,3.38,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0219.00,22,1700.00,2106.55,16,*,4.42,4.75,10.18,11.49,13,2.84,4.93,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0218.00,16,940.00,1637.50,12,0,3.00,2.62,1.00,4.73,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0217.00,21,820.00,872.14,20,0,6.00,12.58,7.29,8.46,15,3.92,4.41,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0215.00,20,775.00,1197.05,15,*,5.00,4.63,7.00,6.40,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0214.00,19,3000.00,3736.84,17,*,1.00,1.61,2.00,3.93,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0213.00,20,858.50,1108.30,19,*,5.00,9.92,10.01,10.61,19,3.42,4.02,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0212.00,15,1400.00,2646.20,12,*,2.22,5.56,4.50,6.59,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0211.00,10,1150.00,3583.20,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00,*,*,*,0,0.00,0.00
2021,Census Tract,3.0210.00,15,750.00,845.87,10,0,3.50,3.47,6.88,7.09,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0205.00,18,800.00,2086.94,16,0,4.79,10.65,9.96,10.04,12,5.17,5.25,*,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0203.00,19,1360.00,1466.84,12,0,1.00,3.17,1.00,1.75,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0201.00,24,1050.00,1919.00,21,*,5.29,5.99,1.00,3.64,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0200.00,15,800.00,1320.53,12,*,3.17,3.88,1.50,4.38,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0199.00,41,1896.00,5728.85,27,*,3.00,4.39,11.71,12.80,26,7.50,7.12,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0198.00,11,917.00,1615.00,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0196.00,20,1350.00,2486.85,18,*,3.00,5.35,2.50,7.28,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0195.00,18,1100.00,1771.06,17,0,6.00,7.77,9.18,11.39,11,2.75,3.51,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0194.00,20,1780.00,2302.35,17,0,2.27,3.11,2.00,6.27,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0193.00,23,1250.00,2339.17,23,0,4.00,8.17,2.24,6.15,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0192.00,17,1500.00,5288.12,13,0,2.71,7.69,6.00,8.40,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0191.00,28,2575.00,3354.86,25,*,3.00,6.28,7.00,7.75,18,3.84,5.01,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0190.00,21,1150.00,2412.38,16,0,3.00,3.90,3.75,6.17,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0187.00,10,1875.00,3659.30,*,*,*,*,*,*,*,*,*,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0183.00,18,1100.00,1441.22,17,*,4.00,7.10,10.00,10.26,14,5.71,5.76,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0181.00,20,953.50,1168.10,18,*,7.00,12.18,5.46,5.84,13,3.92,4.08,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0180.00,10,1340.00,3007.20,10,0,4.00,3.99,10.45,11.44,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0178.00,23,2000.00,3178.57,19,*,3.00,4.16,1.00,5.58,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0172.00,13,2600.00,4267.15,11,*,3.00,3.24,8.38,12.30,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0169.00,33,900.00,910.85,31,*,5.00,15.65,5.00,7.21,21,1.75,2.56,12,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0167.00,11,1330.00,4810.73,*,*,*,*,*,*,*,*,*,0,*,*,*,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0163.00,21,1500.00,3223.19,17,*,4.00,6.01,9.00,8.19,13,5.00,4.78,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0162.00,13,1406.00,2038.46,12,*,3.76,3.68,2.00,3.89,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0161.00,36,1717.50,168586.94,26,*,10.00,10.36,11.03,15.22,20,5.13,5.91,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0160.00,102,2000.00,5765.42,74,*,4.67,5.34,5.00,8.04,44,3.58,4.82,17,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0159.00,38,1120.00,1767.42,35,*,6.00,11.79,9.01,8.05,23,5.16,5.83,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0157.00,54,821.50,1343.30,45,*,6.96,7.28,5.00,5.41,31,2.84,3.30,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0155.00,27,990.00,1124.70,20,*,5.00,12.85,6.50,8.69,16,3.71,4.49,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0153.00,24,1250.00,1364.21,21,0,7.25,6.82,9.97,11.41,20,2.00,3.14,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0151.00,22,700.00,752.09,18,*,6.00,16.72,1.00,6.58,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0149.00,27,1000.00,981.56,25,*,4.00,8.72,6.00,10.25,15,4.58,5.44,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0145.00,38,1240.00,1707.13,34,0,4.00,5.87,4.02,4.98,23,1.75,2.97,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0143.00,30,1750.00,1951.73,22,*,4.00,5.20,1.50,5.15,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0142.00,29,950.00,1981.72,21,0,5.00,5.52,1.00,4.29,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0141.00,34,2164.50,3347.24,29,0,4.00,4.76,10.01,11.56,24,3.54,4.90,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0140.00,10,750.00,927.00,*,*,*,*,*,*,0,0.00,0.00,0,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0139.00,38,1332.50,2627.13,31,*,4.00,4.99,4.00,5.70,19,3.16,4.31,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0138.00,43,1250.00,2375.86,38,*,4.00,5.06,5.00,10.12,26,2.46,4.83,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0137.00,35,1200.00,2320.31,28,*,5.00,5.55,4.50,5.97,17,2.00,3.28,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0136.00,24,562.50,826.17,21,0,3.67,3.87,5.00,6.29,13,2.75,3.63,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0135.00,22,857.50,963.18,21,*,4.50,6.89,1.00,3.21,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0134.00,21,1000.00,2362.43,14,0,3.79,4.59,6.50,7.16,10,2.54,2.64,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0133.00,42,1300.00,2051.36,37,*,6.50,6.18,10.01,10.51,33,4.33,5.76,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0132.00,13,575.00,1258.08,12,0,3.00,2.86,5.96,5.74,10,2.00,2.07,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0131.00,36,710.00,828.19,34,*,7.92,11.55,5.21,7.21,24,3.75,4.59,*,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0130.00,42,904.50,1243.43,38,*,3.00,3.39,8.50,8.40,30,3.08,3.10,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0129.02,42,1100.00,1851.88,37,*,6.00,6.84,9.98,8.70,28,6.88,6.76,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0129.01,22,1045.00,4279.59,13,0,6.84,8.86,7.76,8.42,11,4.00,4.95,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0127.00,25,665.00,2212.12,23,*,24.00,19.16,10.01,8.52,14,0.42,2.29,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0126.00,19,800.00,1532.79,19,0,3.00,3.69,5.08,7.68,16,1.46,2.28,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0122.00,36,650.00,1137.47,33,*,4.00,4.30,2.00,5.58,18,2.87,3.12,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0121.00,35,1500.00,2605.03,29,*,4.00,16.04,5.00,7.67,22,2.12,2.97,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0120.00,57,3000.00,3668.61,42,*,3.00,4.18,5.00,4.60,23,2.92,3.32,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0119.00,63,1600.00,7626.62,56,*,3.78,14.19,4.00,6.28,36,2.17,4.41,18,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0118.00,75,2242.00,4607.91,66,*,3.00,3.14,3.50,6.33,33,4.50,4.81,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0117.00,49,2750.00,4126.73,38,0,2.00,3.96,5.00,8.12,31,1.33,3.00,16,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0116.00,18,1300.00,1914.61,14,0,2.59,3.17,1.00,2.55,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0114.00,11,1353.00,1426.91,11,*,3.00,4.10,1.00,3.20,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0112.00,15,1100.00,1498.00,13,0,4.00,12.34,9.01,9.73,11,1.25,1.82,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0110.00,14,1280.00,1323.14,13,*,2.00,3.58,4.00,4.17,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0108.00,49,1000.00,1440.04,42,*,4.07,4.62,2.00,3.85,21,2.75,3.42,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0106.00,68,1365.00,1430.66,60,*,4.00,5.19,1.00,4.75,27,3.67,3.68,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0104.00,95,1100.00,1360.72,85,*,4.23,5.77,1.00,3.95,27,3.90,4.24,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0102.00,24,800.00,1252.00,21,0,4.06,4.08,1.00,2.80,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0101.00,57,2800.00,4698.63,47,*,2.00,3.60,1.00,4.08,20,1.12,2.74,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0100.00,36,945.00,999.28,34,*,5.00,4.81,3.58,4.83,19,3.92,3.82,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0098.00,30,1500.00,1903.57,26,*,4.00,5.16,1.00,3.60,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0096.00,35,750.00,860.43,31,0,5.00,8.02,7.00,7.18,22,2.33,3.24,*,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0094.00,23,670.00,835.83,20,*,7.50,7.91,3.00,5.50,10,2.42,2.44,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0092.00,27,1500.00,1952.78,16,0,2.00,2.44,1.00,2.81,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0090.00,31,2340.00,2925.06,28,*,2.00,3.08,3.98,5.41,15,4.75,4.50,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0088.00,15,531.00,588.87,14,0,5.00,5.45,6.02,7.86,11,2.00,2.72,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0084.00,58,1450.00,3616.90,51,*,2.50,4.28,5.00,8.19,35,1.25,2.94,20,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0082.00,19,720.00,1833.05,16,0,3.96,6.65,5.00,6.58,11,4.75,5.54,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0080.00,24,950.00,1262.75,17,0,5.00,4.35,10.00,7.67,10,3.08,3.38,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0078.00,38,1833.50,3290.63,23,0,3.00,3.57,4.59,7.47,10,1.04,3.98,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0077.00,44,1000.00,2093.36,33,*,4.00,6.62,1.92,6.01,16,5.08,5.57,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0076.00,39,936.00,1903.46,30,*,5.00,5.51,5.00,6.46,20,2.06,3.57,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0075.00,25,1428.00,3339.76,16,*,6.50,16.30,10.50,8.62,11,2.25,2.33,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0074.00,26,812.50,1340.23,23,*,4.50,7.16,5.00,6.18,13,4.37,5.64,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0071.00,12,2500.00,3078.17,11,0,2.00,5.32,5.75,6.69,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0069.00,41,1500.00,2839.90,36,*,8.50,18.26,5.00,7.54,21,5.92,6.92,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0068.00,45,1125.00,2223.40,40,*,3.00,3.36,5.00,8.30,23,2.42,3.33,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0067.00,24,1139.50,1525.25,20,0,6.00,5.89,10.00,9.35,14,6.97,6.24,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0066.00,30,1000.00,1266.20,24,0,3.94,3.71,5.00,7.23,15,3.84,3.53,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0065.00,24,1250.00,1526.83,21,*,6.00,13.48,5.92,7.52,13,2.00,3.09,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0064.00,23,1000.00,2346.09,18,0,4.00,4.65,3.50,5.39,10,2.42,2.91,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0062.00,36,729.00,938.14,31,*,4.17,4.43,2.00,3.97,10,4.71,4.64,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0060.00,31,1000.00,1375.35,28,*,4.00,3.83,5.00,7.84,18,2.58,4.52,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0059.00,23,4000.00,6706.43,17,*,3.00,10.73,2.00,3.36,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0058.00,58,1475.00,3771.66,45,*,3.00,3.69,2.00,5.79,11,5.16,8.14,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0056.02,10,1200.00,1711.90,10,*,4.00,4.47,5.00,6.71,*,*,*,*,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,3.0056.01,13,1400.00,2619.46,12,0,3.00,2.75,2.40,6.22,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0054.00,17,600.00,1732.24,16,*,6.00,6.80,3.00,6.82,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0053.00,62,982.50,4571.05,54,*,1.00,2.47,5.00,7.53,46,1.83,3.29,22,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0051.00,24,1510.00,2720.46,18,*,3.50,8.75,3.71,5.51,11,4.33,4.48,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0045.00,39,1500.00,2609.23,38,*,6.00,7.44,5.02,6.69,24,2.42,3.77,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0043.00,69,1600.00,3036.36,60,*,6.00,13.82,10.00,9.59,47,4.75,5.38,10,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0041.00,47,800.00,1423.72,41,*,5.00,12.53,5.00,7.08,21,2.75,3.41,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0039.00,48,2082.00,3988.85,31,*,5.00,9.13,1.00,6.54,10,8.42,8.31,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0037.00,125,2190.00,4131.32,101,*,7.00,13.90,10.51,13.38,90,5.63,6.83,20,0,0.00,0.00,24,1.00,2.18,*,*,*
2021,Census Tract,3.0035.00,53,2100.00,11946.15,51,0,6.00,7.94,15.08,13.56,41,2.67,4.02,13,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0033.00,60,2748.00,6974.13,46,*,5.00,5.93,10.01,8.71,38,5.17,5.98,*,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0022.00,33,2200.00,2673.03,28,*,2.00,3.00,10.00,7.75,19,6.00,5.47,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0021.00,139,2025.00,2838.49,117,29,41.00,41.29,10.00,8.80,75,5.10,5.03,16,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0020.00,25,2500.00,3466.48,20,*,2.50,7.40,2.58,3.64,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0018.00,106,5000.00,8795.35,78,*,3.00,5.79,1.00,1.66,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0015.00,72,2406.50,12047.43,47,*,6.00,10.18,5.01,6.55,28,5.75,6.02,*,*,*,*,*,*,*,*,*,*
2021,Census Tract,3.0011.00,96,1650.00,4057.91,77,*,11.00,20.26,10.01,12.65,60,4.42,5.71,11,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0009.00,73,2500.00,5921.75,63,*,11.00,23.27,10.52,12.61,46,4.92,5.91,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0007.00,41,1200.00,5040.41,29,*,5.00,12.22,1.00,8.55,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0005.02,50,1800.00,3108.18,37,*,8.00,14.43,11.01,13.85,26,3.33,5.92,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0005.01,42,1062.50,3153.74,30,*,9.00,13.98,5.48,10.13,17,2.00,2.83,10,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0002.00,63,2000.00,3561.10,49,0,2.00,3.78,1.00,3.22,10,3.17,3.52,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0001.00,25,1106.00,2330.88,18,0,4.64,9.76,10.00,15.71,16,4.00,8.05,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,3.0000.00,17,2883.00,4401.18,*,*,*,*,*,*,*,*,*,*,*,*,*,11,1.00,1.25,*,*,*
2021,Census Tract,2.0516.00,29,3000.00,3649.55,15,*,2.00,2.57,9.00,10.30,12,6.46,6.86,*,14,2.00,7.68,0,0.00,0.00,0,0.00,0.00
2021,Census Tract,2.0484.00,21,1200.00,2156.29,13,0,3.21,2.97,9.75,7.09,11,2.33,3.13,*,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,2.0462.02,50,2040.00,3570.46,43,*,2.00,2.60,5.17,11.37,35,3.00,4.80,12,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,2.0462.01,217,3178.00,8702.02,192,*,3.42,3.63,10.47,14.17,185,3.75,4.73,39,*,*,*,*,*,*,0,0.00,0.00
2021,Census Tract,2.0449.02,11,987.00,992.45,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,0,0.00,0.00
